poiId,name,latitude,longitude,preference,address
129,Tropicalia Gelato e Caffe,-12.9739622,-38.511772,cafe,R. da Misericordia  7 - loja 3 - Pelourinho  Salvador - BA  40026-045  Brazil
130,Casa do Pao de Queijo,-12.9361398,-38.3946903,cafe,shopping paralela  Av. Luis Viana Filho  8544 - Loja C 209 - Patamares  Salvador - BA  41730-101  Brazil
131,PEREIRA CAFe,-13.006696,-38.523833,cafe,Av. Centenario  2992 - Loja 211 - Barra  Salvador - BA  40140-902  Brazil
132,Saude Brasil,-12.9964913,-38.5212159,cafe,R. Humberto de Campos  6 - Graca  Salvador - BA  40150-130  Brazil
133,Xodo Cafe,-12.9938927,-38.4582415,cafe,R. Alexandre de Humboldt  65 - Pituba  Salvador - BA  41810-030  Brazil
134,Frio Gostoso,-12.9698752,-38.4907657,cafe,R. Nilson Costa  157 - Vila Laura  Salvador - BA  40270-550  Brazil
135,Cafelier,-12.9680461,-38.5074128,cafe,R. do Carmo  50 - Santo Antonio Alem do Carmo  Salvador - BA  40301-380  Brazil
136,EVS Itapua,-12.9439408,-38.3658608,cafe,Av. Dorival Caymmi  14193 - Sala 113 - Itapua  Salvador - BA  41635-150  Brazil
137,Cafe Gourmet CGC,-12.9734049,-38.51076430000001,cafe,Praca da Se  s/n - Centro  Salvador - BA  40020-210  Brazil
138,Donaeva,-12.9396404,-38.3348327,cafe,Rua Gilberto Freyre  Qd. E  Lt. 4 - Praia do Flamengo  Salvador - BA  41600-590  Brazil
139,Cold Hot Coffee,-13.0023313,-38.4557422,cafe,R. Bahia  363 - Pituba  Salvador - BA  41830-161  Brazil
140,CAFETERIA FLORIDA,-13.0039875,-38.5023199,cafe,Av. Anita Garibaldi  1815 - Ondina  Salvador - BA  40170-120  Brazil
141,Kamba Cafe e Lanches e Coffee Breaks,-12.982509,-38.4551306,cafe,Shopping Sumare  Av. Tancredo Neves  1506 - Caminho das arvores  Salvador - BA  41820-020  Brazil
142,Jerimum Buffet Cafe,-12.986954,-38.4585,cafe,R. Varzea de Santo Antonio  203 - Pituba  Salvador - BA  41820-180  Brazil
143,JDE Coffee,-12.9211941,-38.456211,cafe,R. do Luxemburgo  586 - Granjas Rurais Pres. Vargas  Salvador - BA  41230-130  Brazil
144,Nonna Cafe,-12.9992456,-38.455,cafe,Av. Paulo VI  355 - loja 5 - Pituba  Salvador - BA  41810-001  Brazil
145,Clube Cafe,-12.9797069,-38.45143280000001,cafe,Av. Tancredo Neves  2421 - Caminho das arvores  Salvador - BA  41820-560  Brazil
146,Giraffas,-12.9366876,-38.3945855,fast-food,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
147,Spoleto,-12.9373883,-38.3952245,fast-food,Av. Luis Viana Filho  8544 - Paralela  Salvador - BA  41730-101  Brazil
148,McDonalds,-12.9092181,-38.3518164,fast-food,Rodovia  BA-526  305  Salvador - BA  41510-000  Brazil
149,Subway,-12.935377,-38.392347,fast-food,Campus FTC - Av. Luis Viana Filho  8812 - Loja 16 - Paralela  Salvador - BA  41730-101  Brazil
150,Bobs Shakes,-12.9137223,-38.3357009,fast-food,Praca Gago Coutinho  S/N - Sao Cristovao  Salvador - BA  41510-055  Brazil
151,Sal e Brasa Grill Express Salvador Norte Shopping,-12.9095109,-38.3507427,fast-food,BA-526  305 - Sao Cristovao  Salvador - BA  41510-000  Brazil
152,Bobs,-12.9817925,-38.464633,fast-food,Av. Tancredo Neves  148 - Caminho das arvores  Salvador - BA  41820-908  Brazil
153,TacoShake,-12.9905793,-38.4631736,fast-food,Rua das Hortensias  942 - Pituba  Salvador - BA  41810-010  Brazil
154,Tabuleiro,-12.9137008,-38.3348494,fast-food,Aeroporto Internacional de Salvador  Praca Gago Coutinho - Dep. Luis Eduardo Magalhaes  3003 - Sao Cristovao  Salvador - BA  41510-055  Brazil
155,Acaraje da Cira,-12.9503996,-38.3627759,fast-food,em frente ao Posto 12 - R. Aristides Milton  s/n - Itapua  Salvador - BA  41610-160  Brazil
156,Rei da Pamonha,-12.9223502,-38.3596992,fast-food,Itapua  Salvador - State of Bahia  Brazil
157,Burger King,-12.9819225,-38.5133291,fast-food,R. Portão da Piedade  155 - Dois de Julho  Salvador - BA  40070-900
158,Cazolla Gastro Burguer Beer.,-12.9896638,-38.4596392,fast-food,Av. Paulo VI  1828 - Pituba  Salvador - BA  41810-001
159,Croasonho,-12.9371172,-38.394604,fast-food,Av. Luís Viana Filho  8544 - Loja E 122 - Patamares  Salvador - BA  41730-101
